assumption_class,variable_label,source_label,period_raw,scenario_raw,value_raw,unit_raw,notes,value,range_low,range_high,value_type,migration_status,provenance_note
Economic,Real GDP Growth,BC Budget,2025,Base,1.8,%,Provincial forecast,1.8,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Economic,Real GDP Growth,BC Budget,2026,Base,1.9,%,Provincial forecast,1.9,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Economic,Real GDP Growth,BC Budget,2027-2029,Average,2.1,%,Provincial forecast,2.1,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Debt-to-GDP Ratio,BC Budget,2025/26,Base,26.7,%,Fiscal assumption,26.7,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Debt-to-GDP Ratio,BC Budget,2026/27,Base,30.9,%,Fiscal assumption,30.9,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Debt-to-GDP Ratio,BC Budget,2027/28,Base,34.4,%,Fiscal assumption,34.4,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Interest Bite,BC Budget,2025/26,Base,4.9,cents per revenue dollar,Fiscal assumption,4.9,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Interest Bite,BC Budget,2026/27,Base,5.8,cents per revenue dollar,Fiscal assumption,5.8,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Interest Bite,BC Budget,2027/28,Base,6.9,cents per revenue dollar,Fiscal assumption,6.9,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Policy,ZEV Sales Share,CleanBC,2026,Target,26,%,,26.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Policy,ZEV Sales Share,CleanBC,2030,Target,90,%,,90.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Policy,ZEV Sales Share,CleanBC,2035,Target,100,%,,100.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Policy,Renewable Fuel Production,CleanBC,2030,Target,1.3,Billion litres,,1.3,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Policy,Methane Reduction,CleanBC,2030,Target,75,%,,75.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Policy,Net Zero Target,CleanBC,2050,Target,2050,Year,,2050.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Policy,New Buildings Zero Carbon Requirement,CleanBC,2030,Target,100,% of new buildings,,100.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Policy,Public Charging Infrastructure,CleanBC,2030,Target,"10,000",Charging stations,,10000.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Demand,Annual Energy Demand,BC Hydro IRP,F2025,Reference,"58,000",GWh,,58000.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Demand,Annual Energy Demand,BC Hydro IRP,F2050,Reference,"83,500",GWh,,83500.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Demand,Load Growth Rate,BC Hydro IRP,F2025-F2050,Reference,1.4,%/yr,,1.4,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Demand,Annual Energy Demand,BC Hydro IRP,F2050,High,"91,200",GWh,,91200.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Demand,Load Growth Rate,BC Hydro IRP,F2025-F2050,High,1.8,%/yr,,1.8,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Demand,Annual Energy Demand,BC Hydro IRP,F2050,Low,"66,600",GWh,,66600.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Demand,Load Growth Rate,BC Hydro IRP,F2025-F2050,Low,0.5,%/yr,,0.5,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Demand,North Coast Load Sensitivity,BC Hydro IRP,Ongoing,Sensitivity,Included,Qualitative,Dedicated scenario,,,,text,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Industrial,Mining Demand Growth,BC Hydro IRP,Ongoing,Reference,Included,Qualitative,,,,,text,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Industrial,LNG Demand Growth,BC Hydro IRP,Ongoing,Reference,Included,Qualitative,,,,,text,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Industrial,Natural Gas Processing Growth,BC Hydro IRP,Ongoing,Reference,Included,Qualitative,,,,,text,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Industrial,Port Electrification Load,BC Hydro IRP,Ongoing,Reference,Included,Qualitative,,,,,text,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Technology,DSM Energy,BC Hydro IRP,2034,Reference,"2,800",GWh/year,,2800.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Technology,DSM Capacity,BC Hydro IRP,2034,Reference,800,MW,,800.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Supply,Renewable Acquisition Target,BC Hydro IRP,2034,Reference,"5,000",GWh/year,,5000.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Supply,Customer Solar + Battery Contribution,BC Hydro IRP,2034,Reference,800,GWh/year,,800.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Supply,Battery Storage Installed,BC Hydro IRP,2031,Reference,400,MW,,400.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Supply,Battery Effective Capacity,BC Hydro IRP,2031,Reference,150,MW,,150.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Supply,Revelstoke Unit 6 Capacity,BC Hydro IRP,2034,Reference,450-500,MW,,,450.0,500.0,range,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Supply,GM Shrum Upgrade,BC Hydro IRP,Future,Reference,100,MW,,100.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Infrastructure,North Coast Capacity Requirement,BC Hydro IRP,2040,Sensitivity,900,MW,,900.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Infrastructure,Prince George–Terrace Line,BC Hydro IRP,Future,Reference,500,kV,,500.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Infrastructure,South Coast Transmission Reinforcements,BC Hydro IRP,Future,Conditional,Included,Qualitative,,,,,text,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Infrastructure,Vancouver Island Reinforcements,BC Hydro IRP,Future,Conditional,Included,Qualitative,,,,,text,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Cost,Energy LRMC,BC Hydro IRP,2025,Planning,97,$/MWh,,97.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Cost,Capacity LRMC,BC Hydro IRP,2025,Planning,300,$/kW-year,,300.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Cost,T\&D LRMC,BC Hydro IRP,2025,Planning,110,$/kW-year,,110.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Reliability,Resource Downside Risk Allowance,BC Hydro IRP,Planning,Reference,10-20,%,,,10.0,20.0,range,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Reliability,Winter-Peaking Utility Assumption,BC Hydro IR Response,Current,Reference,Winter,Peak season,,,,,text,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Climate,Residential Cooling Load Share,BC Hydro IR Response,Current,Reference,3,%,,3.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Climate,Commercial Cooling Load Share,BC Hydro IR Response,Current,Reference,3,%,,3.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Main Extension DCF Horizon,Fortis Filing,Current,Reference,40,Years,,40.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Forecast Buildout Period,Fortis Filing,Current,Reference,5,Years,,5.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Extended Buildout Period,Fortis Filing,Current,Reference,10,Years,,10.0,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Aggregate Profitability Threshold,Fortis Filing,Current,Reference,1.1,Ratio,,1.1,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
Financial,Individual Profitability Threshold (Current),Fortis Filing,Current,Reference,0.8,Ratio,,0.8,,,number,needs_source_provenance,"Legacy seed only; exact document, vintage, page and table must be verified before publication."
