variable_id,class_name,name,description,canonical_unit,geography_id,status,phase,expected_min,expected_max,temporal_semantics,required_metadata
climate.drought.recurrence_years,Climate,Drought recurrence,Return period or scenario frequency for a precisely defined drought event and basin.,years,CA-BC,draft,2,,,,[]
climate.reservoir_inflows.index,Climate,Reservoir inflows,Observed or assumed inflow volume or normalized index for a named reservoir system and period.,source_unit,CA-BC,draft,2,,,,[]
climate.snowpack.percent_of_normal,Climate,Snowpack assumption,Snow-water-equivalent index as a percentage of normal for a named basin and bulletin date.,percent_of_normal,CA-BC,draft,2,,,,[]
commodity.copper.usd_per_tonne,Commodity,Copper price,"Specified copper benchmark price, with benchmark, market, frequency and real or nominal price basis retained in source metadata.",USD_per_metric_tonne,GLOBAL,ready,1,100,100000,,[]
commodity.critical_mineral_demand.index,Commodity,Critical mineral demand,"Demand for a named mineral under a named scenario, expressed in physical units or an index; mineral and end use are required dimensions.",source_unit,GLOBAL,draft,2,,,,[]
commodity.electricity.midc_usd_per_mwh,Commodity,Mid-Columbia electricity price assumption,Average Mid-Columbia wholesale electricity price assumption used by the named decision maker.,USD_per_MWh,,document_recipe,2,-200,1000,,[]
commodity.lng.japan_proxy_usd_per_mmbtu,Commodity,Japan LNG import price proxy,World Bank monthly Japan LNG import price series. This is a public proxy and is not Platts JKM.,USD_per_MMBtu,JP,proxy,1,0,150,,[]
commodity.lng.jkm_usd_per_mmbtu,Commodity,LNG price (JKM),Platts Japan Korea Marker price or a clearly labelled public proxy; proprietary JKM values must not be republished without suitable rights.,USD_per_MMBtu,Northeast Asia,licence_review,2,,,,[]
commodity.natural_gas.aeco_cad_per_gj,Commodity,AECO natural gas price,"Specified AECO or Alberta NIT benchmark, with product, delivery period and administrator retained in metadata.",CAD_per_GJ,Alberta,licence_review,2,,,,[]
commodity.natural_gas.henry_hub_usd_per_mmbtu,Commodity,Henry Hub natural gas price,Henry Hub natural gas spot price for the stated reference period.,USD_per_MMBtu,US,ready,1,-10,100,,[]
commodity.natural_gas.sumas_usd_per_mmbtu,Commodity,Sumas natural-gas price assumption,Average Sumas natural-gas price assumption used by the named decision maker.,USD_per_MMBtu,,document_recipe,2,-20,100,,[]
commodity.oil.brent_usd_per_bbl,Commodity,Brent oil price,Europe Brent spot price.,USD_per_barrel,GLOBAL,ready,1,-100,500,,[]
commodity.oil.wti_usd_per_bbl,Commodity,WTI oil price,"Cushing, Oklahoma West Texas Intermediate spot price.",USD_per_barrel,US,ready,1,-100,500,,[]
demand.electricity_energy_gwh,Demand,Annual electricity demand,"Annual electrical energy demand for a defined system, customer scope and weather-treatment basis.",GWh,BC Hydro service area,regulatory_filing,3,,,,[]
demand.electricity_growth_pct_per_year,Demand,Electricity load growth rate,Compound annual growth rate in annual electricity demand over the stated forecast interval.,percent_per_year,BC Hydro service area,regulatory_filing,3,,,,[]
demand.utility.electricity_forecast_gwh,Demand,Utility electricity demand forecast,"Electricity demand or sales forecast for the named utility, service territory, scenario, target period and vintage.",GWh,,document_recipe,2,0,200000,,[]
demand.utility.electricity_sales_gwh,Demand,Utility electricity sales,"Electricity sales for the named utility and service territory, retaining quarterly, year-to-date or annual basis in metadata.",GWh,,document_recipe,2,0,100000,,[]
demand.utility.natural_gas_sales_pj,Demand,Utility natural-gas sales,"Natural-gas sales for the named utility and service territory, retaining quarterly, year-to-date or annual basis in metadata.",PJ,,document_recipe,2,0,1000,,[]
demand.utility.peak_forecast_mw,Demand,Utility peak-demand forecast,"Peak-demand forecast for the named utility, service territory, scenario, target period and vintage.",MW,,document_recipe,2,0,40000,,[]
demand.utility.peak_mw,Demand,Utility peak demand,"Peak system demand for the named utility, service territory, measurement interval and period.",MW,,document_recipe,2,0,30000,,[]
economic.construction_inflation.vancouver_nonresidential_yoy_pct,Economic,Construction inflation,Year-over-year percentage change in the Statistics Canada Building Construction Price Index for aggregate non-residential construction in Vancouver.,percent,CA-BC-VAN,ready,1,-20,50,,[]
economic.construction_price.vancouver_nonresidential_index,Economic,Vancouver non-residential construction price index,Quarterly aggregate non-residential building construction price index for Vancouver.,index,CA-BC-VAN,supporting_series,1,20,500,,[]
economic.cpi.all_items_index,Economic,All-items CPI index,Monthly all-items Consumer Price Index for British Columbia.,index,CA-BC,supporting_series,1,20,500,,[]
economic.cpi.all_items_yoy_pct,Economic,Inflation,Year-over-year percentage change in the all-items Consumer Price Index for British Columbia.,percent,CA-BC,ready,1,-10,30,,[]
economic.employment.growth_yoy_pct,Economic,Employment growth,Percentage change in seasonally adjusted employment from the same month one year earlier.,percent,CA-BC,ready,1,-25,25,,[]
economic.employment.level,Economic,Employment,"Seasonally adjusted number of employed persons aged 15 years and over in British Columbia, after applying the Statistics Canada scalar factor.",persons,CA-BC,ready,1,1000000,6000000,,[]
economic.exchange_rate.cad_per_usd,Economic,CAD per USD exchange rate,Daily average Canadian-dollar value of one United States dollar.,CAD_per_USD,CA,ready,1,0.5,3,,[]
economic.exports_growth_pct,Economic,Real exports growth,Annual percentage change in real exports of goods and services for the stated geography and forecast vintage.,percent,CA-BC,forecast_source_profiled,2,-50,60,,[]
economic.households.growth_yoy_pct,Economic,Household growth,Percentage change in the estimated or projected number of private households from the preceding year.,percent,CA-BC,ready,1,-5,10,,[]
economic.households.level,Economic,Households,Estimated or projected number of private households in British Columbia; collective dwellings excluded.,households,CA-BC,ready,1,1000000,5000000,,[]
economic.housing_completions.centres_10000_plus,Economic,"Housing completions in centres of 10,000 and over","Monthly housing completions in British Columbia population centres of 10,000 and over; not a full provincial total.",dwelling_units,CA-BC,ready,1,0,100000,,[]
economic.housing_starts.annual_units,Economic,Annual housing starts,Observed or forecast total housing starts over a calendar year in British Columbia; distinct from monthly SAAR measures.,dwelling_units,CA-BC,ready,1,0,200000,,"[""evidence_type""]"
economic.housing_starts.growth_yoy_pct,Economic,Housing starts growth (SAAR),Percentage change in British Columbia total housing starts at a seasonally adjusted annual rate from the same month one year earlier.,percent,CA-BC,ready,1,-80,200,,[]
economic.housing_starts.level,Economic,Housing starts (SAAR),"CMHC housing starts in British Columbia, seasonally adjusted at an annual rate, for the reference month.",dwelling_units_saar,CA-BC,ready,1,0,200000,,[]
economic.housing_under_construction.centres_10000_plus,Economic,"Housing units under construction in centres of 10,000 and over","Month-end housing units under construction in British Columbia population centres of 10,000 and over; not a full provincial total.",dwelling_units,CA-BC,ready,1,0,300000,,[]
economic.imports_growth_pct,Economic,Real imports growth,Annual percentage change in real imports of goods and services for the stated geography and forecast vintage.,percent,CA-BC,forecast_source_profiled,2,-50,60,,[]
economic.interest_rate.goc_10y_yield_pct,Economic,Government of Canada 10-year benchmark yield,Daily yield on the Government of Canada 10-year benchmark bond.,percent,CA,ready,1,-2,25,,[]
economic.interest_rate.target_overnight_pct,Economic,Bank of Canada target overnight rate,Bank of Canada target for the overnight rate on the reference date.,percent,CA,ready,1,-2,25,,[]
